FirstName,LastName,Email,Phone#
Sophie,Miller,Sophine.M@gmail.com,(468) 629-6329
Emily,Smith,Emily.S@gmail.com,(721) 539-5512
Amelia,Brown,Amelia.B@gmail.com,(740) 891-1405
Jessica,Johnson,Jessica.J@gmail.com,(912) 534-3134
Chloe,Jones,Chloe.J@gmail.com,(618) 942-3278
Michael,Davis,Michael.D@gmail.com,(835) 443-3707
Stephen,William,Stephen.W@gmail.com,(698) 855-9134
Henry,Taylor,Henry.T@gmail.com,(487) 720-5960
James,Moore,James.M@gmail.com,(524) 907-2475
Mark,Blaese,Mark.B@gmail.com,(565) 380-2623
